PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Kevin_Durant,BKN,33,38,24,14,36.5,29.5,10.6,20.3,52.0,1.9,5.2,37.2,6.5,7.2,89.8,0.6,6.7,7.3,5.8,3.1,0.8,1.0,1.9,49.0,11,2,2.7
Joel_Embiid,PHI,27,51,35,16,33.1,29.5,9.3,19.0,49.0,1.3,3.7,35.1,9.6,11.6,82.2,1.9,9.2,11.2,4.4,3.0,1.1,1.4,2.7,53.9,31,2,5.2
LeBron_James,LAL,37,46,22,24,36.8,29.4,11.1,21.2,52.2,2.8,7.9,35.4,4.5,5.9,76.4,1.1,7.0,8.1,6.2,3.4,1.5,1.0,2.2,52.4,18,4,-1.3
Giannis_Antetokounmpo,MIL,27,54,35,19,32.8,29.2,10.0,18.4,54.4,1.1,3.8,29.6,8.2,11.3,72.2,2.0,9.6,11.6,6.0,3.3,1.0,1.4,3.2,56.2,36,4,6.3
DeMar_DeRozan,CHI,32,60,37,23,35.8,28.1,10.3,20.2,51.2,0.7,1.8,36.4,6.8,7.8,86.6,0.8,4.5,5.3,5.1,2.4,0.9,0.3,2.2,43.5,5,0,3.1
Trae_Young,ATL,23,58,29,29,34.6,28.0,9.4,20.5,45.7,2.9,7.7,38.2,6.3,7.0,89.7,0.6,3.2,3.8,9.3,4.0,0.9,0.1,1.6,45.8,31,0,1.5
Luka_Doncic,DAL,23,48,32,16,35.6,27.8,9.8,21.8,45.0,2.8,8.3,33.2,5.5,7.4,73.9,0.9,8.3,9.2,8.8,4.6,1.2,0.5,2.4,52.5,33,9,2.3
Ja_Morant,MEM,22,52,32,20,33.3,27.6,10.3,20.8,49.4,1.6,4.7,34.3,5.5,7.3,76.1,1.3,4.4,5.8,6.6,3.4,1.2,0.4,1.5,45.7,9,1,3.1
Jayson_Tatum,BOS,24,62,37,25,36.2,26.5,9.1,20.9,43.8,2.9,8.5,33.4,5.4,6.3,84.9,1.2,7.0,8.2,4.2,2.9,0.9,0.7,2.4,44.7,19,0,7.0
Donovan_Mitchell,UTA,25,51,35,16,33.6,25.8,9.3,20.3,45.5,3.5,9.7,35.8,3.9,4.5,84.9,0.9,3.2,4.0,5.3,3.0,1.6,0.2,2.5,41.3,3,0,5.9
Stephen_Curry,GSW,33,59,41,18,34.8,25.8,8.5,19.6,43.2,4.6,12.0,37.9,4.3,4.7,91.8,0.6,4.7,5.2,6.4,3.2,1.3,0.4,2.1,43.6,12,2,7.8
Nikola_Jokic,DEN,27,57,36,21,33.1,25.8,9.8,17.2,57.1,1.6,4.3,36.3,4.6,5.7,81.1,2.8,11.0,13.8,8.0,3.8,1.4,0.8,2.5,57.1,51,17,6.7
Devin_Booker,PHX,25,54,44,10,34.4,25.6,9.3,20.8,44.8,2.6,7.1,36.8,4.4,5.1,86.4,0.8,4.4,5.2,4.6,2.4,1.1,0.4,2.5,41.0,3,0,5.9
Kyrie_Irving,BKN,29,16,5,11,36.4,24.7,9.3,20.3,45.8,2.4,6.7,36.4,3.6,3.9,92.1,0.6,4.2,4.8,5.4,2.4,1.3,0.6,2.5,41.5,1,0,-0.4
Paul_George,LAC,31,26,14,12,35.5,24.7,9.0,21.4,42.1,2.7,8.3,32.3,4.0,4.5,88.0,0.4,6.7,7.1,5.5,4.2,2.0,0.4,2.5,44.5,6,0,0.9
Karl-Anthony_Towns,MIN,26,58,34,24,34.0,24.6,8.8,16.7,52.7,2.1,5.1,40.2,4.9,6.1,81.8,2.6,7.0,9.6,3.9,3.0,1.0,1.1,3.6,45.4,29,1,2.8
